Date : 2025-11-15 14:12:56
Directory : /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src
Total : 194 files,  24083 codes, 9023 comments, 5484 blanks, all 38590 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        188 |     24,019 |      9,023 |      5,457 |     38,499 |
| Markdown |          4 |         46 |          0 |         26 |         72 |
| XML      |          1 |         17 |          0 |          1 |         18 |
| JSON     |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        194 |     24,083 |      9,023 |      5,484 |     38,590 |
| . (Files)                                                                                                                            |          1 |         17 |          0 |          1 |         18 |
| ..                                                                                                                                   |          2 |        -31 |         -2 |         -5 |        -38 |
| ../series1                                                                                                                           |          2 |        -31 |         -2 |         -5 |        -38 |
| ../series1/Java_test                                                                                                                 |          2 |        -31 |         -2 |         -5 |        -38 |
| .VSCodeCounter                                                                                                                       |          5 |         47 |          0 |         26 |         73 |
| .VSCodeCounter/2025-11-15_12-41-59                                                                                                   |          5 |         47 |          0 |         26 |         73 |
| src                                                                                                                                  |        186 |     24,050 |      9,025 |      5,462 |     38,537 |
| src/smallsql                                                                                                                         |        186 |     24,050 |      9,025 |      5,462 |     38,537 |
| src/smallsql/database                                                                                                                |        160 |     18,651 |      7,929 |      4,366 |     30,946 |
| src/smallsql/database (Files)                                                                                                        |        156 |     17,968 |      7,715 |      4,224 |     29,907 |
| src/smallsql/database/language                                                                                                       |          4 |        683 |        214 |        142 |      1,039 |
| src/smallsql/junit                                                                                                                   |         25 |      5,334 |      1,090 |      1,084 |      7,508 |
| src/smallsql/tools                                                                                                                   |          1 |         65 |          6 |         12 |         83 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                             | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/series1/Java_test/Long_file.java                                                      | Java     |        -25 |         -1 |         -4 |        -30 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/series1/Java_test/Short_file.java                                                     | Java     |         -6 |         -1 |         -1 |         -8 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/.VSCodeCounter/2025-11-15_12-41-59/details.md                        | Markdown |         11 |          0 |          6 |         17 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/.VSCodeCounter/2025-11-15_12-41-59/diff-details.md                   | Markdown |          9 |          0 |          6 |         15 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/.VSCodeCounter/2025-11-15_12-41-59/diff.md                           | Markdown |         12 |          0 |          7 |         19 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/.VSCodeCounter/2025-11-15_12-41-59/results.json                      | JSON     |          1 |          0 |          0 |          1 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/.VSCodeCounter/2025-11-15_12-41-59/results.md                        | Markdown |         14 |          0 |          7 |         21 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/pom.xml                                                              | XML      |         17 |          0 |          1 |         18 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Column.java                                    | Java     |        110 |         37 |         35 |        182 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ColumnExpression.java                          | Java     |         31 |         39 |         22 |         92 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Columns.java                                   | Java     |         48 |         99 |         15 |        162 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Command.java                                   | Java     |         85 |         65 |         31 |        181 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandCreateDatabase.java                     | Java     |         23 |         32 |          6 |         61 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandCreateView.java                         | Java     |         16 |         36 |          7 |         59 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandDelete.java                             | Java     |         16 |         36 |          9 |         61 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandDrop.java                               | Java     |         40 |         32 |          4 |         76 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandInsert.java                             | Java     |        129 |         41 |         21 |        191 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandSelect.java                             | Java     |        363 |        124 |         83 |        570 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandSet.java                                | Java     |         20 |         32 |          5 |         57 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandTable.java                              | Java     |         78 |         42 |         19 |        139 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CommandUpdate.java                             | Java     |         36 |         66 |         13 |        115 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/CreateFile.java                                | Java     |         41 |         39 |         13 |         93 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/DataSource.java                                | Java     |         27 |         47 |         22 |         96 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/DataSources.java                               | Java     |         21 |         36 |          6 |         63 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Database.java                                  | Java     |        384 |        108 |         54 |        546 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/DateTime.java                                  | Java     |        658 |         68 |         77 |        803 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Distinct.java                                  | Java     |         73 |         39 |         34 |        146 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Expression.java                                | Java     |        128 |         56 |         51 |        235 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionArithmetic.java                      | Java     |        858 |         75 |         82 |      1,015 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunction.java                        | Java     |         59 |         51 |         14 |        124 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionACos.java                    | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionASin.java                    | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionATan.java                    | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionATan2.java                   | Java     |         11 |         32 |          5 |         48 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionAbs.java                     | Java     |         64 |         32 |         15 |        111 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionAscii.java                   | Java     |         19 |         36 |         11 |         66 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionBitLen.java                  | Java     |         15 |         40 |         10 |         65 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionCase.java                    | Java     |        116 |         48 |         52 |        216 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionCeiling.java                 | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionChar.java                    | Java     |         17 |         36 |         10 |         63 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionCharLen.java                 | Java     |         14 |         38 |          9 |         61 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionConvert.java                 | Java     |        185 |         39 |         41 |        265 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionCos.java                     | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionCot.java                     | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionDayOfMonth.java              | Java     |         11 |         36 |          8 |         55 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionDayOfWeek.java               | Java     |         10 |         36 |          8 |         54 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionDayOfYear.java               | Java     |         11 |         36 |          8 |         55 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionDegrees.java                 | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionDifference.java              | Java     |         21 |         36 |          9 |         66 |
